config,arm,seed,rho,tau_a,score_std,collapsed
c3,B,28,0.8767944799654996,0.6969172932330827,0.10375205492462035,0
c3,B,29,,0.0,0.0,1
c4,A,0,-0.9227324545778409,-0.7661904761904762,0.12716223155275466,0
c4,A,1,-0.8708056925355783,-0.6861654135338345,0.12644385862462382,0
c4,A,2,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c4,A,3,0.9381578009862561,0.7881203007518797,0.12122950585807116,0
c4,A,4,-0.6086229913936962,-0.43200501253132834,0.14692602863882723,0
c4,A,5,-0.3770335439596497,-0.25523809523809526,0.057725236961247164,0
c4,A,6,0.7138210863817899,0.5253884711779448,0.08306609261086527,0
c4,A,7,-0.852827892674329,-0.6629072681704261,0.0952219900195775,0
c4,A,8,-0.2544214651341571,-0.16924812030075187,0.08803917017809995,0
c4,A,9,0.9115061969137306,0.7443859649122807,0.12080197406988227,0
c4,B,0,-0.9263795398721241,-0.7718295739348371,0.1253084425033781,0
c4,B,1,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c4,B,2,-0.8561723510771941,-0.6676691729323309,0.10349532476329125,0
c4,B,3,0.5638458365364782,0.400125313283208,0.06652333492306728,0
c4,B,4,-0.9147460296626853,-0.7502506265664161,0.12474926410526017,0
c4,B,5,-0.14983781148632178,-0.09862155388471178,0.05311930512154671,0
c4,B,6,-0.45978118613241326,-0.31513784461152883,0.06603062721233931,0
c4,B,7,0.9081936137100857,0.7410275689223058,0.1156709521953848,0
c4,B,8,0.9064614778842368,0.7382957393483709,0.1136024132947715,0
c4,B,9,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c5,A,0,-0.3282871767948549,-0.22453634085213034,0.148542550986956,0
c5,A,1,0.0003615022593891211,0.0005764411027568922,0.1217750592296354,0
c5,A,2,-0.897189169932312,-0.7200751879699248,0.12349640662443538,0
c5,A,3,0.8087019293870586,0.6229072681704261,0.09189748837299198,0
c5,A,4,,0.0,0.0,1
c5,A,5,0.751110381939887,0.5556140350877193,0.14457462570218396,0
c5,A,6,0.6817017606360039,0.49721804511278195,0.08081669157629491,0
c5,A,7,,0.0,0.0,1
c5,A,8,-0.2454544090900568,-0.16588972431077695,0.1017470873124845,0
c5,A,9,-0.09618003862524141,-0.0643859649122807,0.15450616490119498,0
c5,B,0,0.4959060994131213,0.345062656641604,0.06508869348359163,0
c5,B,1,-0.09104081900511878,-0.05907268170426065,0.05834789979827478,0
c5,B,2,0.4949717810736317,0.35082706766917293,0.08464958732282091,0
c5,B,3,,0.0,0.0,1
c5,B,4,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c5,B,5,,0.0,0.0,1
c5,B,6,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c5,B,7,0.9364039150244688,0.7858646616541354,0.12780662040564564,0
c5,B,8,0.8256694729342057,0.6329573934837093,0.09132172262552013,0
c5,B,9,0.5000300001875011,0.35388471177944864,0.059418565663708324,0
c6,A,0,0.9350927193294957,0.7844611528822055,0.12818102710921264,0
c6,A,1,0.02716123225770161,0.01804511278195489,0.17051922401928926,0
c6,A,2,0.939513809461309,0.7865162907268171,0.13076734423814412,0
c6,A,3,0.01946937168357302,0.01117794486215539,0.0890739806261953,0
c6,A,4,,0.0,0.0,1
c6,A,5,,0.0,0.0,1
c6,A,6,0.9100485628035174,0.7417042606516291,0.14072672852598567,0
c6,A,7,0.7956154725967036,0.6014285714285714,0.1458876717208214,0
c6,A,8,,0.0,0.0,1
c6,A,9,-0.882982581141132,-0.7065413533834587,0.12049488578624473,0
c6,A,10,0.6668610428815179,0.47909774436090224,0.16162525913424558,0
c6,A,11,,0.0,0.0,1
c6,A,12,0.9397260607878799,0.792406015037594,0.1280738323003922,0
c6,A,13,0.8934616466352914,0.72,0.13235403387660782,0
c6,A,14,0.9341752760954755,0.7828320802005012,0.12716873134255477,0
c6,A,15,-0.9271704198151238,-0.7719298245614035,0.12775397386322945,0
c6,A,16,,0.0,0.0,1
c6,A,17,-0.6418733242082761,-0.46095238095238095,0.13647986244186375,0
c6,A,18,,0.0,0.0,1
c6,A,19,,0.0,0.0,1
c6,A,20,,0.0,0.0,1
c6,A,21,,0.0,0.0,1
c6,A,22,-0.5701263087641012,-0.4088095238095238,0.1522943548750278,0
c6,A,23,0.017106106913168207,0.01213032581453634,0.1644329127419358,0
c6,A,24,-0.7856666604166276,-0.5927318295739349,0.1294837621913618,0
c6,A,25,0.4117273142871049,0.2799498746867168,0.16211875685359053,0
c6,A,26,-0.5589728685804286,-0.39278195488721807,0.12852181980983698,0
c6,A,27,,0.0,0.0,1
c6,A,28,,0.0,0.0,1
c6,A,29,,0.0,0.0,1
c6,B,0,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c6,B,1,0.9396624978906118,0.7920802005012532,0.1287241267783147,0
c6,B,2,-0.9113601335008342,-0.7447117794486215,0.12252113082005629,0
c6,B,3,-0.6349944687154294,-0.46578947368421053,0.08210149612287046,0
c6,B,4,0.9388778054862843,0.7906766917293233,0.1286715290065283,0
c6,B,5,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c6,B,6,-0.7265846661541634,-0.5406766917293233,0.09047320080688499,0
c6,B,7,-0.7771199819998875,-0.5847869674185464,0.09122872068899088,0
c6,B,8,-0.9169647310295689,-0.7553884711779448,0.13025358869699102,0
c6,B,9,0.917815423846399,0.7519298245614036,0.1158703464952809,0
c6,B,10,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c6,B,11,-0.2769124182026137,-0.1893984962406015,0.056754514412703114,0
c6,B,12,-0.9094193088706803,-0.7416541353383459,0.12257843199833539,0
c6,B,13,,0.0,0.0,1
c6,B,14,-0.5565604785029905,-0.39035087719298245,0.06602125066033254,0
c6,B,15,-0.4222445765286033,-0.2875438596491228,0.06220852191904095,0
c6,B,16,0.9329424558903492,0.7784210526315789,0.12279119801724313,0
c6,B,17,0.9398803742523391,0.7876691729323309,0.1258872845961759,0
c6,B,18,0.7228301426883917,0.5276441102756892,0.07581039826510091,0
c6,B,19,-0.1896583728648304,-0.12917293233082708,0.05331855660616361,0
c6,B,20,-0.49467177919861993,-0.3449874686716792,0.0636700098012885,0
c6,B,21,,0.0,0.0,1
c6,B,22,0.7827377046106537,0.5930576441102757,0.08377797121291533,0
c6,B,23,,0.0,0.0,1
c6,B,24,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c6,B,25,,0.0,0.0,1
c6,B,26,-0.2577574859842874,-0.17395989974937343,0.056770970563051054,0
c6,B,27,-0.7536513978212362,-0.5599248120300752,0.0848112034122926,0
c6,B,28,,0.0,0.0,1
c6,B,29,-0.7926921418258863,-0.6050125313283208,0.0932961858640147,0
c7,A,0,,0.0,0.0,1
c7,A,1,0.9487949299683122,0.8042857142857143,0.1254254227327611,0
c7,A,2,0.08940716058557362,0.060476190476190475,0.18724208583450805,0
c7,A,3,,0.0,0.0,1
c7,A,4,,0.0,0.0,1
c7,A,5,,0.0,0.0,1
c7,A,6,,0.0,0.0,1
c7,A,7,,0.0,0.0,1
c7,A,8,,0.0,0.0,1
c7,A,9,,0.0,0.0,1
c7,A,10,,0.0,0.0,1
c7,A,11,,0.0,0.0,1
c7,A,12,-0.4128984705339113,-0.2839473684210526,0.14359830589288092,0
c7,A,13,,0.0,0.0,1
c7,A,14,-0.8977649860311627,-0.7254135338345865,0.12591654788892165,0
c7,A,15,-0.9328569553559709,-0.7770676691729324,0.12546651469213996,0
c7,A,16,0.5438502419868657,0.3850751879699248,0.1658650275728713,0
c7,A,17,,0.0,0.0,1
c7,A,18,,0.0,0.0,1
c7,A,19,,0.0,0.0,1
c7,A,20,,0.0,0.0,1
c7,A,21,-0.42294208088800556,-0.3043859649122807,0.2060244006071948,0
c7,A,22,,0.0,0.0,1
c7,A,23,-0.5016881934354074,-0.34711779448621555,0.16205813976189953,0
c7,A,24,,0.0,0.0,1
c7,A,25,-0.8835263345395907,-0.708421052631579,0.12866152324146887,0
c7,A,26,-0.8661337258357864,-0.6837593984962406,0.13104636389864474,0
c7,A,27,,0.0,0.0,1
c7,A,28,,0.0,0.0,1
c7,A,29,-0.014150338439615245,-0.010350877192982456,0.025375939157202633,0
c7,B,0,0.939528434552716,0.7917543859649123,0.12867513702397973,0
c7,B,1,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c7,B,2,,0.0,0.0,1
c7,B,3,-0.9326332664579152,-0.7783959899749373,0.12641799135434295,0
c7,B,4,0.1813674460465378,0.12293233082706767,0.06081838013832053,0
c7,B,5,-0.9229064556653478,-0.7643107769423559,0.12835900616781307,0
c7,B,6,-0.4518975118594491,-0.3123308270676692,0.05982102575480096,0
c7,B,7,-0.5615680723004518,-0.3900501253132832,0.06364995542075985,0
c7,B,8,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c7,B,9,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c7,B,10,0.9449444059025368,0.7954887218045112,0.12916671933547588,0
c7,B,11,-0.8934423340145875,-0.7154135338345865,0.10709237760273903,0
c7,B,12,-0.8051737198357489,-0.6149874686716792,0.09558711341231516,0
c7,B,13,,0.0,0.0,1
c7,B,14,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c7,B,15,0.7522368889805561,0.5597744360902256,0.09042937304912381,0
c7,B,16,0.7318028237676485,0.5384210526315789,0.07711188275731781,0
c7,B,17,-0.8707003168769805,-0.6892731829573935,0.10611826927593869,0
c7,B,18,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c7,B,19,,0.0,0.0,1
c7,B,20,-0.657087169294808,-0.4737092731829574,0.08065484028133853,0
c7,B,21,0.9394689966812292,0.7920802005012532,0.1287603014580111,0
c7,B,22,-0.9342823392646203,-0.7820802005012532,0.12584137837607628,0
c7,B,23,0.8169832936455851,0.6268922305764411,0.0865892160270171,0
c7,B,24,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c7,B,25,-0.6999538747117169,-0.512406015037594,0.07923018024754182,0
c7,B,26,-0.032158700991881194,-0.019423558897243107,0.051873088599505374,0
c7,B,27,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c7,B,28,,0.0,0.0,1
c7,B,29,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c8,A,0,,0.0,0.0,1
c8,A,1,,0.0,0.0,1
c8,A,2,,0.0,0.0,1
c8,A,3,,0.0,0.0,1
c8,A,4,,0.0,0.0,1
